Martial Status,Sex,Year,Age,Education,Job,Skill Level,Area Type,Type of unemployment
Married,Both,2005,36,Intermediate,Architect,advanced,Urban,Don't have a job
NaN,Both,2006,38,Less than basic,Accountant,low,National,Don't have a job
Married,Male,2019,21,NaN,IT Developer,advanced,Rural,Don't have a job
Widowed,Male,2005,56,Basic,Teacher,NaN,Rural,Have a job
Widowed,Both,2015,50,NaN,Artist,medium,National,Don't have a job
Single,Both,2009,48,Basic,Accountant,medium,Rural,Have a job
Widowed,Female,2017,35,NaN,Doctor,No skill,Rural,Don't have a job
NaN,Female,2023,16,Intermediate,Accountant,medium,Urban,Have a job
Divorced of separated legally,Female,2018,48,Less than basic,Teacher,advanced,Urban,Have a job
NaN,Female,2009,25,Less than basic,Doctor,advanced,Urban,Don't have a job
Widowed,Female,2016,48,NaN,Doctor,No skill,Urban,Have a job
Divorced of separated legally,Female,2000,16,Basic,Teacher,low,National,Have a job
Divorced of separated legally,Both,2014,51,Less than basic,IT Developer,advanced,Urban,Don't have a job
Married,Female,2016,30,Less than basic,Car driver,medium,National,Have a job
NaN,Female,2014,65,Basic,IT Developer,low,Rural,Have a job
Divorced of separated legally,Male,2016,39,Less than basic,Car driver,NaN,National,Have a job
NaN,Female,2002,38,Advanced,Teacher,No skill,Rural,Don't have a job
NaN,Both,2010,19,Advanced,Artist,NaN,National,Don't have a job
Single,Both,2016,65,Less than basic,Architect,medium,Urban,Don't have a job
Married,Both,2015,16,Intermediate,IT Developer,advanced,National,Don't have a job
Married,Male,2016,32,Advanced,Architect,medium,National,Have a job
Married,Female,2006,48,Less than basic,Teacher,low,Urban,Don't have a job
Divorced of separated legally,Female,2008,16,Basic,Doctor,No skill,Rural,Don't have a job
Married,Female,2000,32,Less than basic,Teacher,low,Rural,Don't have a job
NaN,Female,2006,15,Less than basic,Architect,NaN,Rural,Don't have a job
NaN,Both,2007,61,Advanced,Banker,No skill,National,Don't have a job
Single,Female,2006,37,Intermediate,Architect,advanced,National,Don't have a job
Single,Male,2023,60,Advanced,Architect,low,Rural,Have a job
NaN,Both,2007,23,NaN,Doctor,advanced,Rural,Have a job
Single,Female,2001,58,NaN,Teacher,NaN,Urban,Have a job
Single,Female,2007,22,Basic,Artist,low,Urban,Have a job
Divorced of separated legally,Female,2011,63,Basic,Artist,No skill,Urban,Don't have a job
Married,Female,2006,47,NaN,Accountant,medium,Urban,Have a job
Divorced of separated legally,Both,2001,49,Basic,Teacher,NaN,Urban,Have a job
Widowed,Both,2005,37,NaN,Accountant,NaN,Rural,Don't have a job
Widowed,Male,2021,61,Advanced,Artist,medium,National,Don't have a job
Widowed,Female,2012,44,Advanced,Teacher,low,Rural,Don't have a job
NaN,Male,2017,50,Intermediate,Artist,NaN,National,Don't have a job
NaN,Female,2018,41,NaN,IT Developer,NaN,Urban,Have a job
Divorced of separated legally,Both,2000,54,Intermediate,Car driver,low,National,Have a job
Divorced of separated legally,Female,2013,50,Advanced,Car driver,low,Urban,Have a job
Divorced of separated legally,Female,2023,45,Advanced,Teacher,No skill,National,Don't have a job
Widowed,Both,2014,50,Intermediate,Doctor,medium,Urban,Don't have a job
Single,Female,2020,50,Advanced,Doctor,No skill,Urban,Don't have a job
Single,Male,2015,31,Intermediate,IT Developer,low,Urban,Have a job
Single,Female,2008,28,Less than basic,Car driver,low,National,Don't have a job
Divorced of separated legally,Male,2010,36,NaN,Doctor,advanced,Urban,Have a job
Divorced of separated legally,Male,2021,62,Advanced,IT Developer,low,Urban,Have a job
NaN,Male,2020,36,Basic,Architect,low,Urban,Don't have a job
Widowed,Female,2009,57,Less than basic,Teacher,low,Rural,Don't have a job
Divorced of separated legally,Both,2019,32,Advanced,Teacher,medium,National,Don't have a job
Divorced of separated legally,Female,2021,31,Advanced,Artist,NaN,Urban,Don't have a job
Widowed,Female,2013,23,Basic,Teacher,low,Rural,Have a job
Divorced of separated legally,Male,2019,51,Basic,Banker,NaN,Rural,Have a job
Married,Male,2003,58,Intermediate,Architect,advanced,Rural,Have a job
Widowed,Female,2003,20,Basic,Doctor,advanced,Urban,Don't have a job
Divorced of separated legally,Male,2001,57,Intermediate,Accountant,advanced,National,Don't have a job
Widowed,Female,2002,15,Intermediate,Teacher,NaN,Rural,Have a job
Single,Male,2009,54,NaN,Doctor,No skill,Urban,Have a job
Married,Both,2000,45,Advanced,Artist,advanced,Urban,Don't have a job
Divorced of separated legally,Female,2003,29,Intermediate,Car driver,low,National,Have a job
Married,Male,2014,39,Basic,Accountant,No skill,Rural,Have a job
Divorced of separated legally,Female,2004,40,Advanced,Architect,advanced,Urban,Don't have a job
Single,Both,2006,16,Less than basic,Artist,NaN,Urban,Don't have a job
NaN,Male,2017,32,Less than basic,Doctor,No skill,Rural,Don't have a job
Single,Female,2002,55,Less than basic,Architect,medium,Rural,Don't have a job
Single,Both,2012,27,Less than basic,Architect,medium,National,Don't have a job
Married,Both,2005,29,Basic,Accountant,medium,National,Have a job
Single,Both,2000,47,Basic,Architect,advanced,National,Don't have a job
Widowed,Female,2003,50,Less than basic,Doctor,medium,Rural,Don't have a job
Divorced of separated legally,Female,2002,22,Basic,Artist,NaN,Urban,Have a job
Widowed,Male,2015,55,NaN,Artist,advanced,Urban,Have a job
Widowed,Both,2020,51,Basic,IT Developer,No skill,Rural,Don't have a job
NaN,Female,2005,62,Less than basic,Artist,No skill,National,Don't have a job
Single,Both,2013,29,NaN,Accountant,No skill,Rural,Have a job
Divorced of separated legally,Female,2002,56,Less than basic,Doctor,advanced,National,Have a job
Divorced of separated legally,Male,2007,58,Intermediate,Teacher,NaN,National,Have a job
NaN,Male,2022,36,Intermediate,IT Developer,medium,National,Have a job
Divorced of separated legally,Both,2012,35,Intermediate,Teacher,low,Rural,Don't have a job
Widowed,Both,2006,17,Intermediate,Artist,NaN,Urban,Have a job
Married,Female,2016,45,NaN,Artist,medium,Rural,Have a job
Widowed,Female,2013,60,Basic,Doctor,low,National,Don't have a job
Married,Both,2017,65,Advanced,Artist,advanced,Rural,Don't have a job
Single,Female,2013,47,Intermediate,Teacher,NaN,Rural,Have a job
Single,Female,2000,46,NaN,Teacher,NaN,Rural,Don't have a job
Divorced of separated legally,Male,2014,45,Less than basic,Doctor,No skill,Urban,Have a job
Divorced of separated legally,Female,2009,29,Basic,Architect,medium,National,Have a job
Single,Both,2017,32,Basic,Doctor,low,National,Don't have a job
Divorced of separated legally,Male,2015,54,Basic,Architect,NaN,National,Have a job
Widowed,Both,2021,63,NaN,Banker,No skill,National,Don't have a job
Married,Male,2021,62,NaN,Doctor,advanced,Rural,Have a job
Married,Male,2002,17,Basic,Doctor,advanced,National,Don't have a job
Divorced of separated legally,Male,2015,47,Less than basic,Doctor,No skill,Urban,Have a job
NaN,Both,2012,51,NaN,Car driver,advanced,National,Don't have a job
Married,Female,2015,65,Less than basic,Accountant,low,National,Don't have a job
Single,Both,2000,49,Basic,Car driver,low,National,Don't have a job
Married,Both,2001,43,NaN,Banker,low,Urban,Have a job
Widowed,Female,2017,41,Intermediate,Doctor,No skill,National,Don't have a job
Single,Female,2002,26,Basic,Artist,NaN,Urban,Don't have a job
Married,Female,2019,55,Intermediate,Architect,low,Urban,Don't have a job
Divorced of separated legally,Male,2016,53,NaN,Doctor,No skill,National,Have a job
Married,Male,2022,31,Less than basic,IT Developer,low,Urban,Have a job
Married,Female,2005,41,Basic,Artist,NaN,Rural,Have a job
Divorced of separated legally,Female,2018,50,Advanced,Artist,NaN,Urban,Don't have a job
Single,Both,2008,41,Less than basic,Banker,NaN,Urban,Don't have a job
Single,Both,2009,35,Advanced,IT Developer,medium,National,Have a job
Widowed,Male,2003,24,NaN,Artist,advanced,National,Have a job
NaN,Both,2012,25,Basic,IT Developer,No skill,Rural,Don't have a job
Married,Female,2001,45,Advanced,Car driver,medium,Rural,Don't have a job
Single,Both,2022,18,NaN,Car driver,medium,National,Have a job
NaN,Both,2003,59,Basic,Teacher,low,National,Don't have a job
NaN,Both,2000,21,Intermediate,Architect,low,Rural,Have a job
Single,Male,2017,40,Advanced,Banker,No skill,National,Don't have a job
Single,Male,2007,49,Basic,Architect,NaN,Rural,Have a job
Divorced of separated legally,Female,2002,63,Intermediate,Doctor,advanced,Rural,Don't have a job
Single,Both,2004,61,NaN,Car driver,No skill,National,Don't have a job
Widowed,Male,2014,56,Advanced,Artist,No skill,National,Don't have a job
Widowed,Male,2012,21,Intermediate,Teacher,advanced,National,Have a job
Married,Female,2010,63,Intermediate,Artist,advanced,Urban,Have a job
Single,Male,2012,20,Advanced,Doctor,NaN,Urban,Don't have a job
Divorced of separated legally,Female,2001,42,Basic,Architect,advanced,Urban,Don't have a job
Divorced of separated legally,Both,2015,52,Intermediate,Teacher,low,Urban,Don't have a job
Widowed,Female,2002,56,Basic,Banker,advanced,National,Have a job
Divorced of separated legally,Female,2009,32,NaN,Doctor,advanced,Rural,Have a job
Married,Female,2012,21,Less than basic,Architect,No skill,Urban,Have a job
Divorced of separated legally,Both,2003,20,NaN,Banker,No skill,Urban,Have a job
Widowed,Both,2021,15,Intermediate,Architect,advanced,Urban,Have a job
Married,Female,2002,55,Basic,Banker,advanced,Urban,Don't have a job
Divorced of separated legally,Female,2020,42,Basic,Accountant,No skill,Urban,Have a job
NaN,Female,2009,19,Basic,Accountant,No skill,Rural,Don't have a job
NaN,Both,2001,64,Advanced,Doctor,NaN,National,Don't have a job
Single,Male,2007,48,Advanced,IT Developer,NaN,Urban,Don't have a job
Married,Female,2017,38,Basic,Car driver,No skill,Rural,Don't have a job
NaN,Male,2009,27,Advanced,Accountant,medium,Urban,Have a job
Divorced of separated legally,Both,2023,53,Basic,Car driver,low,Urban,Don't have a job
Widowed,Both,2007,35,Intermediate,Banker,NaN,Urban,Have a job
Widowed,Male,2004,62,Advanced,Doctor,No skill,National,Don't have a job
Divorced of separated legally,Male,2014,19,Intermediate,Artist,low,National,Don't have a job
Married,Male,2004,43,Intermediate,Car driver,medium,National,Don't have a job
NaN,Female,2011,22,Basic,Banker,No skill,Urban,Have a job
Single,Male,2019,37,NaN,Car driver,medium,National,Have a job
Divorced of separated legally,Both,2020,38,Intermediate,Accountant,No skill,National,Have a job
Married,Male,2015,25,NaN,Doctor,No skill,Rural,Have a job
NaN,Both,2021,15,Advanced,Accountant,NaN,Rural,Have a job
Widowed,Male,2003,41,Advanced,Car driver,medium,Urban,Have a job
Widowed,Male,2021,65,Intermediate,Teacher,medium,National,Have a job
Married,Both,2001,65,Intermediate,Car driver,No skill,Urban,Have a job
Divorced of separated legally,Female,2003,19,Basic,Artist,No skill,National,Don't have a job
Married,Male,2019,53,Advanced,Banker,advanced,Urban,Have a job
NaN,Female,2011,48,Basic,Architect,NaN,National,Have a job
Widowed,Male,2010,52,Less than basic,Architect,advanced,National,Have a job
Married,Both,2022,58,Intermediate,Doctor,medium,National,Have a job
Married,Both,2001,54,Basic,IT Developer,low,Urban,Don't have a job
Divorced of separated legally,Both,2008,64,Intermediate,Teacher,advanced,National,Don't have a job
Divorced of separated legally,Female,2014,59,Intermediate,Artist,low,National,Have a job
Widowed,Female,2023,59,Intermediate,IT Developer,advanced,Rural,Have a job
NaN,Male,2020,17,Intermediate,Artist,medium,Urban,Don't have a job
Single,Male,2012,51,Basic,Doctor,No skill,Urban,Don't have a job
NaN,Male,2015,44,Advanced,Architect,NaN,Rural,Have a job
Married,Male,2004,47,Advanced,Car driver,medium,Rural,Have a job
Married,Male,2003,20,NaN,Banker,low,Urban,Have a job
Single,Male,2003,46,Basic,Accountant,medium,Urban,Have a job
Married,Both,2020,52,NaN,Artist,medium,National,Don't have a job
Divorced of separated legally,Male,2020,32,Intermediate,Artist,advanced,National,Have a job
Widowed,Male,2015,25,Basic,Doctor,NaN,National,Have a job
Widowed,Both,2014,60,Basic,Banker,low,National,Have a job
Single,Female,2010,43,Basic,Artist,NaN,Rural,Have a job
Divorced of separated legally,Both,2000,35,Advanced,Artist,NaN,Urban,Don't have a job
Divorced of separated legally,Female,2018,59,Less than basic,Accountant,low,Rural,Have a job
NaN,Both,2014,38,Basic,Teacher,low,Urban,Don't have a job
Single,Male,2016,37,Intermediate,Doctor,advanced,National,Don't have a job
Divorced of separated legally,Male,2002,22,Intermediate,Banker,NaN,Urban,Don't have a job
Single,Female,2016,47,Basic,Car driver,NaN,National,Don't have a job
Widowed,Male,2020,15,Basic,Banker,NaN,National,Have a job
Widowed,Both,2005,19,Intermediate,Artist,low,National,Don't have a job
Divorced of separated legally,Female,2008,16,NaN,Artist,medium,Urban,Have a job
Widowed,Female,2016,26,Less than basic,Artist,advanced,National,Have a job
Married,Female,2021,31,Less than basic,Car driver,medium,National,Have a job
NaN,Both,2011,41,Basic,Accountant,No skill,Urban,Have a job
Widowed,Male,2012,49,Advanced,Doctor,NaN,Rural,Don't have a job
Married,Female,2003,48,Advanced,Teacher,NaN,Rural,Don't have a job
NaN,Both,2004,36,Intermediate,Doctor,low,Urban,Have a job
NaN,Female,2006,28,Intermediate,Teacher,No skill,National,Don't have a job
Single,Both,2019,19,Less than basic,IT Developer,advanced,Urban,Don't have a job
Married,Both,2014,21,Advanced,Architect,medium,Urban,Don't have a job
Divorced of separated legally,Female,2003,21,Less than basic,IT Developer,No skill,Urban,Don't have a job
NaN,Female,2011,56,Basic,Accountant,medium,Rural,Have a job
Widowed,Both,2021,59,Advanced,IT Developer,NaN,Urban,Don't have a job
NaN,Male,2012,54,Intermediate,IT Developer,medium,Urban,Have a job
Single,Male,2010,31,Less than basic,Artist,low,Rural,Don't have a job
Single,Male,2006,50,Basic,Accountant,No skill,Rural,Don't have a job
Widowed,Both,2005,24,Basic,Accountant,medium,Rural,Have a job
Single,Male,2023,30,NaN,Architect,low,National,Don't have a job
NaN,Female,2008,22,Advanced,Car driver,NaN,Rural,Have a job
Single,Male,2015,42,Basic,Artist,medium,Urban,Have a job
Divorced of separated legally,Male,2007,31,NaN,Teacher,No skill,National,Don't have a job
Widowed,Male,2016,17,Less than basic,Car driver,low,Rural,Don't have a job
Divorced of separated legally,Male,2000,42,Advanced,Doctor,low,Rural,Have a job
NaN,Both,2006,37,Basic,IT Developer,medium,Rural,Have a job
Single,Female,2012,65,Advanced,Accountant,No skill,Urban,Have a job
Divorced of separated legally,Male,2000,58,Advanced,Accountant,advanced,Urban,Don't have a job
Widowed,Female,2001,55,Advanced,Teacher,NaN,Rural,Have a job
Widowed,Both,2015,36,Advanced,Doctor,medium,National,Have a job
Married,Male,2017,36,Intermediate,Doctor,advanced,National,Have a job
Divorced of separated legally,Both,2018,24,Advanced,IT Developer,low,Rural,Have a job
Married,Both,2014,48,Intermediate,Teacher,advanced,Urban,Have a job
Divorced of separated legally,Both,2016,46,Advanced,Teacher,advanced,Urban,Don't have a job
Widowed,Both,2017,45,Basic,Architect,advanced,Rural,Don't have a job
Widowed,Male,2013,56,Intermediate,Banker,NaN,Rural,Have a job
Married,Male,2001,33,NaN,IT Developer,advanced,National,Don't have a job
Married,Both,2016,33,Advanced,Artist,NaN,Rural,Have a job
Widowed,Both,2003,30,Advanced,IT Developer,No skill,Urban,Don't have a job
Single,Both,2013,49,Basic,Accountant,low,Urban,Have a job
NaN,Female,2005,18,Less than basic,IT Developer,NaN,Urban,Don't have a job
Married,Male,2018,34,Basic,Car driver,low,National,Don't have a job
Divorced of separated legally,Female,2003,16,Basic,IT Developer,medium,Rural,Don't have a job
NaN,Male,2012,24,Intermediate,Artist,No skill,Urban,Don't have a job
Married,Female,2006,59,Advanced,Car driver,advanced,National,Have a job
Divorced of separated legally,Female,2002,35,NaN,Artist,No skill,National,Have a job
Married,Male,2010,22,Intermediate,Banker,No skill,National,Don't have a job
NaN,Male,2011,43,Less than basic,Artist,low,National,Don't have a job
Married,Male,2004,59,NaN,Doctor,No skill,Rural,Don't have a job
Divorced of separated legally,Male,2020,45,Less than basic,Teacher,medium,National,Have a job
Single,Female,2023,55,Less than basic,Architect,medium,National,Don't have a job
Single,Male,2001,31,Intermediate,Banker,No skill,National,Have a job
Divorced of separated legally,Male,2001,35,Advanced,Artist,medium,National,Don't have a job
Single,Male,2009,55,Basic,Doctor,low,Rural,Don't have a job
Divorced of separated legally,Female,2013,33,Intermediate,Architect,NaN,Urban,Have a job
Divorced of separated legally,Female,2001,40,Intermediate,Banker,NaN,Urban,Have a job
Widowed,Male,2013,16,Less than basic,Artist,low,Urban,Have a job
NaN,Both,2016,39,Advanced,Teacher,No skill,Urban,Have a job
Single,Both,2002,54,Advanced,Artist,advanced,Urban,Don't have a job
Married,Male,2017,37,Basic,Teacher,low,National,Don't have a job
Divorced of separated legally,Female,2010,61,Intermediate,Accountant,No skill,National,Have a job
NaN,Both,2003,17,Less than basic,Teacher,advanced,National,Have a job
Widowed,Both,2023,17,Advanced,IT Developer,No skill,National,Don't have a job
NaN,Male,2022,34,Basic,Car driver,low,Rural,Don't have a job
NaN,Female,2001,25,Less than basic,Teacher,medium,Urban,Have a job
Married,Both,2023,31,Intermediate,Doctor,medium,National,Have a job
